,1,2,3,4,5,6,7,8,9,10,11
1,,Stage ,1 ,Stage ,2 ,Stage ,3 ,POCI ,,Total ,
2,Business banking ,Gross Loans £ million ,Allow. for credit impair- ment losses £ million ,Gross Loans £ million ,Allow. for credit impair- ment losses £ million ,Gross Loans £ million ,Allow. for credit impair- ment losses £ million ,Gross Loans £ million ,Allow. for credit impair- ment losses £ million ,Gross Loans £ million ,Allow. for credit impair- ment losses £ million 
3,At 31 December 2019 ,118.1 ,(1.7) ,9.6 ,(0.7) ,3.5 ,(0.8) ,- ,- ,131.2 ,(3.2) 
4,Transfers to credit impairment provisions ,- ,0.3 ,- ,0.1 ,- ,,- ,- ,- ,0.4 
5,Changes reflected in impairment losses: ,,,,,,,,,,
6,Increases due to originations ,722.3 ,(2.6) ,56.1 ,- ,2.5 ,- ,- ,- ,780.9 ,(2.6) 
7,Decreases due to repayments ,(174.3) ,- ,(19.3) ,0.1 ,(2.9) ,0.1 ,- ,- ,(196.5) ,0.2 
8,Changes in credit risk ,- ,11.6 ,- ,(14.4) ,- ,- ,- ,- ,- ,(2.8) 
9,Amounts written off ,- ,- ,- ,- ,(0.3) ,- ,- ,- ,(0.3) ,- 
10,Transfers between stages: ,(82.1) ,(12.8) ,80.0 ,13.3 ,2.1 ,(0.5) ,- ,- ,- ,- 
11,To stage 1 ,125.5 ,(18.3) ,(125.0) ,17.9 ,(0.5) ,0.4 ,- ,- ,- ,- 
12,To stage 2 ,(207.4) ,5.5 ,208.0 ,(5.7) ,(0.6) ,0.2 ,- ,- ,- ,- 
13,To stage 3 ,(0.2) ,- ,(3.0) ,1.1 ,3.2 ,(1.1) ,- ,- ,- ,- 
14,At 31 December 2020 ,584.0 ,(5.2) ,126.4 ,(1.6) ,4.9 ,(1.2) ,- ,- ,715.3 ,(8.0) 
